shape_area,label,x_center,ct10,y_center,geoid10,shape_len,LAMedian_MedianChange
4025735684.42,9110.01,6620403.0,911001,1998891.0,06037911001,353933.808192,-13000
2078689856.02,9800.03,6575300.0,980003,2112006.0,06037980003,273188.86321,
11118018325.1,9303.01,6603027.0,930301,1932124.0,06037930301,628603.531323,11400
4824001.88224,5730.03,6500215.0,573003,1747305.0,06037573003,9050.00845755,3700
6697030.7108,2976.02,6473372.0,297602,1719119.0,06037297602,12308.3153848,-1800
5905100.44315,5763.01,6504322.0,576301,1741997.0,06037576301,9753.97301109,14400
19358566.6893,5760.01,6502906.0,576001,1736986.0,06037576001,39836.6864373,89300
7986145.05367,2976.01,6474243.0,297601,1718161.0,06037297601,20183.8433708,-30500
6766930.72694,2933.06,6469105.0,293306,1743404.0,06037293306,11598.7695919,11600
22155395.8686,2951.03,6471597.0,295103,1736076.0,06037295103,25554.1820527,67800
18860179.2443,2947.01,6484199.0,294701,1741695.0,06037294701,19832.8844366,61000
5544276.6123,5775.04,6523433.0,577504,1730882.0,06037577504,24927.628715,541699
3495520.22963,5769.03,6514026.0,576903,1742639.0,06037576903,7937.92527941,168700
3484769.04819,5763.02,6506099.0,576302,1741995.0,06037576302,7919.61397136,-14700
59192458.255,9800.15,6472491.0,980015,1741187.0,06037980015,35568.183276,
152738527.95,6706.02,6449990.0,670602,1729526.0,06037670602,101823.774732,189399
19695040.6479,6514.02,6456694.0,651402,1748522.0,06037651402,23809.0362627,68500
10817426.5019,6514.01,6460229.0,651401,1744801.0,06037651401,15690.5576747,66900
38505146.0937,6704.16,6438632.0,670416,1733791.0,06037670416,30679.5089257,385099
6198688.53751,2972.02,6470739.0,297202,1722342.0,06037297202,9987.2039544,44300
4348887.16449,2972.01,6473048.0,297201,1722396.0,06037297201,8280.5321659,-10800
5282901.06731,2969.02,6471778.0,296902,1725876.0,06037296902,11982.864722,-53300
6645893.78148,2969.01,6472096.0,296901,1724313.0,06037296901,11354.5896772,87600
4789422.78484,5769.01,6511635.0,576901,1742046.0,06037576901,9246.30169477,9100
38555098.3438,6703.28,6435589.0,670328,1739756.0,06037670328,36912.9960467,647099
11251263.1446,2964.02,6469289.0,296402,1730289.0,06037296402,17029.6731578,10700
7154658.98553,2944.21,6471248.0,294421,1746228.0,06037294421,16439.8675887,157400
3773422.60383,5759.02,6502340.0,575902,1739580.0,06037575902,7831.60902264,10200
43389624.9352,6703.26,6439686.0,670326,1745004.0,06037670326,39140.4763836,665299
9046145.14,2943.02,6477100.0,294302,1744211.0,06037294302,14638.1778185,22700
50988818.1812,6703.24,6446022.0,670324,1749407.0,06037670324,45007.4677145,520899
10636305.3306,2964.01,6466148.0,296401,1728556.0,06037296401,14230.1130631,-4100
10114919.1823,6700.01,6465475.0,670001,1751155.0,06037670001,16579.6634649,57200
7676011.80158,2943.01,6476726.0,294301,1747773.0,06037294301,11675.1941906,12800
3632856.64246,2933.07,6469432.0,293307,1745141.0,06037293307,9180.18374844,30300
29099596.311,9800.07,6530524.0,980007,1736366.0,06037980007,24066.892021,
9776574.4741,2965.00,6472568.0,296500,1730917.0,06037296500,13864.8190622,-23900
5248010.81399,2971.10,6475256.0,297110,1725941.0,06037297110,9163.59606945,4100
10173191.4688,1277.11,6419584.0,127711,1891116.0,06037127711,13530.3464786,-76000
36291903.7826,9800.06,6535215.0,980006,1754843.0,06037980006,38583.5579949,
11149680.8386,5437.03,6479666.0,543703,1750988.0,06037543703,13591.2140721,16700
13146592.9773,2973.00,6466914.0,297300,1720937.0,06037297300,18899.7911299,32700
4768610.33809,2971.20,6474973.0,297120,1723547.0,06037297120,10234.195494,47300
4660194.17072,1276.03,6416518.0,127603,1893957.0,06037127603,9752.34750191,92100
22543282.2815,2974.00,6463914.0,297400,1722508.0,06037297400,21706.767638,21600
21889067.6752,2975.00,6470251.0,297500,1719028.0,06037297500,21697.2157827,189000
5827822.68667,6099.00,6469794.0,609900,1727973.0,06037609900,14086.5392212,12800
5774281.27402,2962.20,6475387.0,296220,1728258.0,06037296220,9598.06029315,51300
10670615.8293,2941.10,6482551.0,294110,1748970.0,06037294110,16777.7108392,29600
23535290.3959,6704.13,6440867.0,670413,1739858.0,06037670413,21025.0953539,53100
28361462.7406,5745.00,6531176.0,574500,1744954.0,06037574500,25347.3652162,31100
14440218.0135,5749.01,6523631.0,574901,1746762.0,06037574901,16979.3265618,-34800
13084241.4734,5771.00,6516665.0,577100,1739001.0,06037577100,14526.3868025,-1000
5113467.67174,2291.00,6485249.0,229100,1819625.0,06037229100,9150.08471406,-49500
10392446.2639,5750.02,6518070.0,575002,1744455.0,06037575002,14777.754101,-22800
4128349.65816,2948.20,6480943.0,294820,1742346.0,06037294820,8204.36946746,-2400
6130718.86995,2933.04,6469200.0,293304,1747051.0,06037293304,9931.99166224,14300
12049811.5122,2933.02,6469242.0,293302,1750324.0,06037293302,15348.4883027,-3100
8612265.5329,5767.00,6512901.0,576700,1736609.0,06037576700,14419.4434707,140200
4613680.84442,5766.01,6507166.0,576601,1737448.0,06037576601,9890.08829062,-33700
17981667.766,6704.03,6449716.0,670403,1740756.0,06037670403,19438.943634,92800
36510736.6717,5744.00,6530702.0,574400,1750864.0,06037574400,24468.5511259,51300
5035922.93491,5768.02,6513729.0,576802,1739367.0,06037576802,9265.78293157,58000
5541445.4506,5768.01,6511737.0,576801,1739294.0,06037576801,9848.65295168,81500
3492765.79894,5764.02,6508739.0,576402,1741992.0,06037576402,7930.52748143,11100
