GEO.id,GEO.id2,GEO.display-label,,HC01_VC116,HC01_VC117,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC182,HC01_VC183,HC01_VC184,HC01_VC185,HC01_VC187
Id,Id2,Geography,Census ID,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Less than $50,000","Estimate; VALUE - $50,000 to $99,999","Estimate; VALUE - $100,000 to $149,999","Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; VALUE - $300,000 to $499,999","Estimate; VALUE - $500,000 to $999,999","Estimate; VALUE - $1,000,000 or more",Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Less than $200,Estimate; GROSS RENT - $200 to $299,Estimate; GROSS RENT - $300 to $499,Estimate; GROSS RENT - $500 to $749,Estimate; GROSS RENT - $750 to $999,"Estimate; GROSS RENT - $1,000 to $1,499","Estimate; GROSS RENT - $1,500 or more",Estimate; GROSS RENT - Median (dollars),Estimate; GROSS RENT - No rent paid
1400000US06037106113,6037106113,"Census Tract 1061.13, Los Angeles County, California",,764,0,0,53,0,211,474,21,5,337800,115,0,0,5,35,0,25,50,1313,28
1400000US06037106114,6037106114,"Census Tract 1061.14, Los Angeles County, California",,690,0,0,64,122,302,142,60,0,267400,828,0,11,8,57,191,408,153,1148,9
1400000US06037106403,6037106403,"Census Tract 1064.03, Los Angeles County, California",,577,26,0,10,76,195,230,40,0,291200,112,0,0,0,0,0,33,79,1883,13
1400000US06037106405,6037106405,"Census Tract 1064.05, Los Angeles County, California",,633,0,9,77,58,222,189,78,0,277700,339,0,0,0,70,39,160,70,1153,24
1400000US06037106406,6037106406,"Census Tract 1064.06, Los Angeles County, California",,1242,17,46,132,183,181,437,246,0,316800,197,0,0,0,36,36,41,84,1342,0
1400000US06037106407,6037106407,"Census Tract 1064.07, Los Angeles County, California",,248,0,9,114,86,0,39,0,0,150500,507,21,18,28,26,99,225,90,1237,9
1400000US06037106408,6037106408,"Census Tract 1064.08, Los Angeles County, California",,267,0,0,33,83,72,79,0,0,233700,705,4,14,23,63,80,475,46,1161,8
1400000US06037106510,6037106510,"Census Tract 1065.10, Los Angeles County, California",,1000,54,32,0,0,104,550,227,33,414300,445,0,0,0,0,0,252,193,1462,0
1400000US06037106520,6037106520,"Census Tract 1065.20, Los Angeles County, California",,1031,109,104,39,65,251,393,70,0,278800,257,0,0,4,28,110,11,104,979,28
1400000US06037106603,6037106603,"Census Tract 1066.03, Los Angeles County, California",,914,0,0,6,0,30,140,729,9,609300,102,0,0,0,0,0,8,94,"2,000+",0
1400000US06037106604,6037106604,"Census Tract 1066.04, Los Angeles County, California",,491,0,0,0,15,120,240,104,12,371800,609,0,11,7,24,138,279,150,1141,0
1400000US06037106641,6037106641,"Census Tract 1066.41, Los Angeles County, California",,704,16,0,13,0,44,174,443,14,569800,23,0,0,0,0,0,0,23,"2,000+",24
1400000US06037106642,6037106642,"Census Tract 1066.42, Los Angeles County, California",,996,4,0,0,0,9,319,653,11,570200,69,0,0,0,0,0,38,31,1456,10
1400000US06037106643,6037106643,"Census Tract 1066.43, Los Angeles County, California",,1318,14,0,0,0,42,128,929,205,777900,22,0,0,10,0,0,12,0,1271,0
1400000US06037106645,6037106645,"Census Tract 1066.45, Los Angeles County, California",,1083,0,0,20,0,25,344,694,0,580100,51,0,0,0,12,14,0,25,996,11
1400000US06037106646,6037106646,"Census Tract 1066.46, Los Angeles County, California",,879,0,7,0,7,10,584,271,0,444900,72,0,0,0,0,0,10,62,"2,000+",0
1400000US06037106648,6037106648,"Census Tract 1066.48, Los Angeles County, California",,494,96,0,0,7,123,251,17,0,316200,421,0,0,23,41,189,106,62,948,0
1400000US06037106649,6037106649,"Census Tract 1066.49, Los Angeles County, California",,584,6,0,11,8,55,389,115,0,391400,85,0,0,6,0,0,6,73,1709,19
1400000US06037107010,6037107010,"Census Tract 1070.10, Los Angeles County, California",,524,6,0,43,16,138,290,31,0,325000,217,0,0,0,31,0,102,84,1430,0
1400000US06037107020,6037107020,"Census Tract 1070.20, Los Angeles County, California",,1000,28,10,57,124,254,429,87,11,307900,267,0,0,0,7,13,118,129,1486,6
1400000US06037108101,6037108101,"Census Tract 1081.01, Los Angeles County, California",,748,0,35,0,0,12,128,569,4,596600,56,0,0,0,0,0,0,56,"2,000+",9
1400000US06037108102,6037108102,"Census Tract 1081.02, Los Angeles County, California",,1010,0,11,29,7,31,251,652,29,592200,188,0,0,12,0,5,0,171,"2,000+",45
1400000US06037108103,6037108103,"Census Tract 1081.03, Los Angeles County, California",,997,0,0,0,10,0,52,886,49,714400,97,0,0,0,0,0,0,97,"2,000+",0
1400000US06037108104,6037108104,"Census Tract 1081.04, Los Angeles County, California",,568,0,0,2,0,15,66,478,7,620200,31,0,0,0,0,0,0,31,"2,000+",1
1400000US06037108201,6037108201,"Census Tract 1082.01, Los Angeles County, California",,1684,11,15,0,0,32,226,1343,57,626100,223,0,0,0,0,0,0,223,"2,000+",26
1400000US06037108202,6037108202,"Census Tract 1082.02, Los Angeles County, California",,1118,18,0,0,0,9,195,614,282,821500,613,0,0,0,11,12,244,346,1643,103
1400000US06037109100,6037109100,"Census Tract 1091, Los Angeles County, California",,633,44,160,23,6,140,205,51,4,278400,83,0,29,0,0,16,5,33,968,0
1400000US06037109200,6037109200,"Census Tract 1092, Los Angeles County, California",,702,0,5,0,45,125,476,41,10,356600,192,0,0,0,9,0,27,156,1754,7
1400000US06037109300,6037109300,"Census Tract 1093, Los Angeles County, California",,708,9,13,6,34,67,541,38,0,361500,145,0,0,0,0,0,3,142,"2,000+",23
1400000US06037109400,6037109400,"Census Tract 1094, Los Angeles County, California",,794,93,22,47,0,217,320,77,18,307300,261,0,0,0,0,8,12,241,1928,16
1400000US06037109500,6037109500,"Census Tract 1095, Los Angeles County, California",,601,9,10,35,32,156,297,62,0,326200,431,0,0,0,30,52,179,170,1418,19
1400000US06037109601,6037109601,"Census Tract 1096.01, Los Angeles County, California",,886,16,6,21,0,197,540,106,0,347900,393,0,0,0,23,17,124,229,1643,0
1400000US06037109603,6037109603,"Census Tract 1096.03, Los Angeles County, California",,737,0,0,11,32,243,350,93,8,341900,573,0,0,52,0,221,193,107,1024,0
1400000US06037109604,6037109604,"Census Tract 1096.04, Los Angeles County, California",,714,4,19,0,7,206,407,59,12,339900,216,0,0,0,51,99,21,45,841,7
1400000US06037109700,6037109700,"Census Tract 1097, Los Angeles County, California",,1021,42,0,11,54,107,649,158,0,379300,270,0,0,8,20,0,54,188,1849,15
1400000US06037109800,6037109800,"Census Tract 1098, Los Angeles County, California",,1100,25,11,0,0,138,806,120,0,382500,240,13,13,0,13,0,60,141,1800,11
1400000US06037111100,6037111100,"Census Tract 1111, Los Angeles County, California",,716,6,20,7,9,53,413,208,0,424600,238,0,0,0,19,16,81,122,1533,18
1400000US06037111201,6037111201,"Census Tract 1112.01, Los Angeles County, California",,968,20,9,0,6,48,588,297,0,448600,117,0,0,0,0,0,37,80,"2,000+",0
1400000US06037111202,6037111202,"Census Tract 1112.02, Los Angeles County, California",,1163,16,0,0,8,93,771,264,11,420800,636,0,0,0,9,19,208,400,1709,9
1400000US06037111204,6037111204,"Census Tract 1112.04, Los Angeles County, California",,1774,0,0,34,0,16,238,1276,210,653900,154,0,7,0,0,0,10,137,"2,000+",23
1400000US06037111205,6037111205,"Census Tract 1112.05, Los Angeles County, California",,790,0,0,0,0,127,358,305,0,450000,559,0,0,0,28,0,107,424,1807,0
1400000US06037111206,6037111206,"Census Tract 1112.06, Los Angeles County, California",,1269,8,0,21,0,28,506,636,70,530100,144,0,0,0,0,0,29,115,"2,000+",47
1400000US06037111301,6037111301,"Census Tract 1113.01, Los Angeles County, California",,807,0,0,7,0,113,454,233,0,441000,1832,0,0,37,58,155,922,660,1382,13
1400000US06037111302,6037111302,"Census Tract 1113.02, Los Angeles County, California",,938,32,0,0,35,36,450,385,0,474500,787,0,0,0,32,118,461,176,1247,15
1400000US06037111400,6037111400,"Census Tract 1114, Los Angeles County, California",,1039,0,0,0,17,79,719,205,19,397800,1668,33,72,13,75,325,588,562,1295,0
1400000US06037113101,6037113101,"Census Tract 1131.01, Los Angeles County, California",,1071,9,0,0,8,35,277,725,17,591500,73,0,0,0,0,0,21,52,"2,000+",8
1400000US06037113102,6037113102,"Census Tract 1131.02, Los Angeles County, California",,906,0,0,0,0,0,86,668,152,758800,13,0,0,0,0,0,0,13,"2,000+",24
1400000US06037113211,6037113211,"Census Tract 1132.11, Los Angeles County, California",,1294,15,54,0,12,171,616,371,55,393400,208,0,0,0,0,6,17,185,"2,000+",29
1400000US06037113212,6037113212,"Census Tract 1132.12, Los Angeles County, California",,618,18,9,0,14,73,350,154,0,415800,435,0,0,0,0,25,136,274,1772,9
1400000US06037113213,6037113213,"Census Tract 1132.13, Los Angeles County, California",,1129,0,0,35,94,319,341,340,0,358000,499,0,0,0,12,38,226,223,1416,47
1400000US06037113231,6037113231,"Census Tract 1132.31, Los Angeles County, California",,658,0,0,0,42,30,101,452,33,600300,127,0,0,0,0,13,12,102,"2,000+",38
1400000US06037113232,6037113232,"Census Tract 1132.32, Los Angeles County, California",,1219,0,7,0,25,10,431,730,16,549500,135,0,0,0,0,11,63,61,1384,33
1400000US06037113233,6037113233,"Census Tract 1132.33, Los Angeles County, California",,900,0,182,120,42,56,392,108,0,315500,1336,0,10,7,86,249,578,406,1200,0
1400000US06037113234,6037113234,"Census Tract 1132.34, Los Angeles County, California",,658,97,171,19,31,52,163,114,11,260600,809,0,13,80,35,251,313,117,1043,0
1400000US06037113235,6037113235,"Census Tract 1132.35, Los Angeles County, California",,497,116,42,30,22,44,147,87,9,288500,163,0,0,35,11,15,24,78,1445,4
1400000US06037113237,6037113237,"Census Tract 1132.37, Los Angeles County, California",,884,52,69,62,8,12,100,449,132,612500,436,0,11,0,0,0,222,203,1393,19
1400000US06037113301,6037113301,"Census Tract 1133.01, Los Angeles County, California",,610,8,0,0,0,9,108,424,61,694000,120,0,0,0,0,0,5,115,"2,000+",0
1400000US06037113303,6037113303,"Census Tract 1133.03, Los Angeles County, California",,1144,79,89,0,0,23,642,281,30,441900,216,0,0,0,40,26,23,127,1771,0
1400000US06037113321,6037113321,"Census Tract 1133.21, Los Angeles County, California",,730,0,0,0,177,193,267,78,15,297500,1656,0,0,0,46,271,914,425,1283,0
1400000US06037113322,6037113322,"Census Tract 1133.22, Los Angeles County, California",,1276,0,0,0,29,30,651,555,11,477200,58,0,0,0,0,0,9,49,"2,000+",39
1400000US06037113401,6037113401,"Census Tract 1134.01, Los Angeles County, California",,1271,8,6,7,55,165,723,307,0,398600,400,0,51,47,38,116,39,109,931,21
1400000US06037113421,6037113421,"Census Tract 1134.21, Los Angeles County, California",,500,0,0,16,0,97,309,78,0,402800,1398,12,19,25,185,151,535,471,1237,0
1400000US06037113422,6037113422,"Census Tract 1134.22, Los Angeles County, California",,1142,37,14,23,78,215,715,45,15,346900,916,0,0,0,48,307,417,144,1100,10
1400000US06037115101,6037115101,"Census Tract 1151.01, Los Angeles County, California",,1599,0,22,0,0,8,180,1246,143,684400,79,0,28,8,0,0,15,28,1308,0
1400000US06037115103,6037115103,"Census Tract 1151.03, Los Angeles County, California",,0,0,0,0,0,0,0,0,0,-,70,0,0,0,0,13,3,54,1732,0
1400000US06037115104,6037115104,"Census Tract 1151.04, Los Angeles County, California",,429,8,0,38,0,0,149,224,10,535600,1209,0,8,0,87,161,516,437,1307,10
1400000US06037115201,6037115201,"Census Tract 1152.01, Los Angeles County, California",,656,16,0,0,15,0,290,308,27,518800,2091,0,45,0,16,293,1084,653,1277,31
1400000US06037115202,6037115202,"Census Tract 1152.02, Los Angeles County, California",,793,0,7,9,9,56,556,136,20,415600,1029,0,0,0,36,128,489,376,1299,0
1400000US06037115301,6037115301,"Census Tract 1153.01, Los Angeles County, California",,1053,83,67,0,52,29,248,561,13,523800,580,0,0,0,0,58,184,338,1606,0
1400000US06037115302,6037115302,"Census Tract 1153.02, Los Angeles County, California",,361,12,0,0,0,24,262,63,0,383000,618,5,6,42,37,122,338,68,1142,10
1400000US06037115401,6037115401,"Census Tract 1154.01, Los Angeles County, California",,835,0,7,46,45,181,185,371,0,462200,1142,0,0,50,13,405,433,241,1091,9
1400000US06037115403,6037115403,"Census Tract 1154.03, Los Angeles County, California",,236,5,0,9,0,21,138,58,5,426700,786,0,4,4,13,234,340,191,1128,21
1400000US06037115404,6037115404,"Census Tract 1154.04, Los Angeles County, California",,383,0,0,0,20,38,268,57,0,385000,399,0,0,7,0,68,251,73,1157,0
1400000US06037117101,6037117101,"Census Tract 1171.01, Los Angeles County, California",,905,0,11,96,59,139,539,61,0,334000,327,0,0,0,43,30,201,53,1336,24
1400000US06037117102,6037117102,"Census Tract 1171.02, Los Angeles County, California",,714,0,0,11,78,165,342,118,0,360900,86,0,0,0,0,27,52,7,1250,8
1400000US06037117201,6037117201,"Census Tract 1172.01, Los Angeles County, California",,340,0,0,16,45,17,132,130,0,433300,787,0,42,73,17,183,423,49,1061,17
1400000US06037117202,6037117202,"Census Tract 1172.02, Los Angeles County, California",,579,5,0,4,0,47,309,200,14,433200,53,0,0,0,0,0,0,53,"2,000+",9
1400000US06037117301,6037117301,"Census Tract 1173.01, Los Angeles County, California",,1095,12,0,14,11,104,776,169,9,406200,102,0,0,0,0,7,10,85,"2,000+",14
1400000US06037117302,6037117302,"Census Tract 1173.02, Los Angeles County, California",,1318,28,0,7,0,36,703,533,11,470100,355,0,4,0,0,0,136,215,1680,0
1400000US06037117303,6037117303,"Census Tract 1173.03, Los Angeles County, California",,834,6,0,0,0,27,603,198,0,435400,215,0,0,0,33,0,0,182,"2,000+",6
1400000US06037117404,6037117404,"Census Tract 1174.04, Los Angeles County, California",,974,10,15,6,21,28,520,374,0,463300,310,0,0,0,0,111,60,139,1183,12
1400000US06037117405,6037117405,"Census Tract 1174.05, Los Angeles County, California",,54,0,15,13,8,15,3,0,0,145800,714,0,7,0,64,303,317,23,988,23
1400000US06037117407,6037117407,"Census Tract 1174.07, Los Angeles County, California",,26,0,0,5,0,0,0,21,0,595200,795,0,0,10,58,269,428,30,1059,0
1400000US06037117408,6037117408,"Census Tract 1174.08, Los Angeles County, California",,165,9,0,47,5,21,83,0,0,300600,728,0,0,0,92,313,273,50,962,12
1400000US06037117510,6037117510,"Census Tract 1175.10, Los Angeles County, California",,173,10,0,47,21,31,36,28,0,221300,807,0,39,73,60,161,365,109,1093,42
1400000US06037117520,6037117520,"Census Tract 1175.20, Los Angeles County, California",,163,0,0,9,33,65,45,11,0,239500,692,0,34,0,65,218,313,62,1046,7
1400000US06037117530,6037117530,"Census Tract 1175.30, Los Angeles County, California",,372,12,0,21,69,67,184,19,0,314200,1123,0,107,14,80,249,524,149,1097,19
1400000US06037119001,6037119001,"Census Tract 1190.01, Los Angeles County, California",,760,17,7,0,51,237,383,59,6,322500,161,0,0,0,2,8,38,113,1681,22
1400000US06037119002,6037119002,"Census Tract 1190.02, Los Angeles County, California",,915,19,31,11,10,282,392,165,5,342500,477,0,0,0,32,45,164,236,1494,22
1400000US06037119201,6037119201,"Census Tract 1192.01, Los Angeles County, California",,588,16,0,26,21,266,194,65,0,290000,276,0,0,42,17,29,60,128,1429,0
1400000US06037119202,6037119202,"Census Tract 1192.02, Los Angeles County, California",,614,11,0,15,36,193,300,59,0,323400,323,9,0,5,6,47,156,100,1207,0
1400000US06037119310,6037119310,"Census Tract 1193.10, Los Angeles County, California",,641,32,15,164,144,76,210,0,0,184000,374,0,8,6,121,71,85,83,870,15
1400000US06037119320,6037119320,"Census Tract 1193.20, Los Angeles County, California",,237,7,21,5,27,93,76,8,0,273000,794,7,17,18,0,60,393,299,1387,0
1400000US06037119340,6037119340,"Census Tract 1193.40, Los Angeles County, California",,43,10,0,0,0,13,20,0,0,244200,888,3,0,12,79,323,456,15,1036,5
1400000US06037119341,6037119341,"Census Tract 1193.41, Los Angeles County, California",,260,0,0,4,60,122,74,0,0,261600,472,0,72,56,47,36,156,105,1231,8
1400000US06037119342,6037119342,"Census Tract 1193.42, Los Angeles County, California",,402,6,7,73,113,156,32,15,0,201000,374,18,8,0,65,0,146,137,1329,0
1400000US06037119400,6037119400,"Census Tract 1194, Los Angeles County, California",,824,0,0,44,0,415,266,99,0,288600,242,0,0,0,0,0,62,180,1893,22
1400000US06037119700,6037119700,"Census Tract 1197, Los Angeles County, California",,879,13,0,0,0,153,580,133,0,385700,347,0,0,0,27,100,69,151,1313,12
1400000US06037119800,6037119800,"Census Tract 1198, Los Angeles County, California",,912,38,8,0,16,379,427,44,0,305300,367,0,0,0,36,89,86,156,1383,50
1400000US06037119900,6037119900,"Census Tract 1199, Los Angeles County, California",,887,9,0,0,78,356,343,101,0,300200,301,0,0,0,0,31,48,222,1847,20
1400000US06037120010,6037120010,"Census Tract 1200.10, Los Angeles County, California",,471,0,24,0,33,253,161,0,0,279400,202,0,0,4,0,53,114,31,1320,0
1400000US06037120020,6037120020,"Census Tract 1200.20, Los Angeles County, California",,257,6,0,0,0,73,113,65,0,350000,840,21,0,0,104,313,360,42,991,8
1400000US06037120030,6037120030,"Census Tract 1200.30, Los Angeles County, California",,43,5,0,0,0,5,33,0,0,334800,593,0,0,0,92,157,330,14,1069,19
1400000US06037120103,6037120103,"Census Tract 1201.03, Los Angeles County, California",,33,0,0,33,0,0,0,0,0,127100,812,69,0,0,58,275,325,85,1007,0
1400000US06037120104,6037120104,"Census Tract 1201.04, Los Angeles County, California",,67,0,0,0,0,12,55,0,0,339100,716,0,0,10,22,277,360,47,1083,0
1400000US06037120105,6037120105,"Census Tract 1201.05, Los Angeles County, California",,340,8,0,0,14,68,236,14,0,389900,543,0,81,47,77,150,160,28,858,0
1400000US06037120106,6037120106,"Census Tract 1201.06, Los Angeles County, California",,153,0,10,41,0,0,102,0,0,401900,1001,0,0,18,79,397,423,84,1005,0
1400000US06037120107,6037120107,"Census Tract 1201.07, Los Angeles County, California",,16,0,0,0,0,16,0,0,0,-,988,8,43,0,83,304,495,55,1049,0
1400000US06037120108,6037120108,"Census Tract 1201.08, Los Angeles County, California",,510,0,11,218,52,130,99,0,0,179700,707,0,18,14,33,168,303,171,1257,0
1400000US06037120300,6037120300,"Census Tract 1203, Los Angeles County, California",,1009,0,11,0,9,533,393,52,11,291600,394,0,0,17,27,79,106,165,1243,0
1400000US06037120400,6037120400,"Census Tract 1204, Los Angeles County, California",,534,17,0,8,69,187,199,54,0,293500,1411,0,27,20,114,371,596,283,1102,27
1400000US06037121010,6037121010,"Census Tract 1210.10, Los Angeles County, California",,968,0,17,71,7,224,570,76,3,339500,281,0,0,0,0,49,116,116,1409,0
